Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2018-04-02,Flat Barbell Bench Press,Chest,185.0,lbs,5,,,,
2018-04-02,Flat Barbell Bench Press,Chest,195.0,lbs,5,,,,
2018-04-02,Flat Barbell Bench Press,Chest,205.0,lbs,5,,,,
2018-04-02,Parallel Bar Triceps Dip,Triceps,250.0,lbs,5,,,,
2018-04-02,Parallel Bar Triceps Dip,Triceps,250.0,lbs,4,,,,
2018-04-02,Parallel Bar Triceps Dip,Triceps,250.0,lbs,3,,,,
2018-04-02,Seated Machine Press,Chest,90.0,lbs,5,,,,
2018-04-02,Seated Machine Press,Chest,180.0,lbs,5,,,,
2018-04-02,Seated Machine Press,Chest,180.0,lbs,5,,,,
2018-04-02,Lying Triceps Extension,Triceps,65.0,lbs,5,,,,
2018-04-02,Lying Triceps Extension,Triceps,75.0,lbs,5,,,,
2018-04-02,Lying Triceps Extension,Triceps,75.0,lbs,5,,,,
2018-04-02,Incline Dumbbell Bench Press,Chest,65.0,lbs,5,,,,
2018-04-02,Incline Dumbbell Bench Press,Chest,65.0,lbs,5,,,,
2018-04-02,Incline Dumbbell Bench Press,Chest,65.0,lbs,3,,,,
2018-04-02,One-Arm Cable Push Down,Triceps,22.5,lbs,5,,,,
2018-04-02,One-Arm Cable Push Down,Triceps,27.5,lbs,5,,,,
2018-04-03,Barbell Squat,Legs,205.0,lbs,5,,,,
2018-04-03,Barbell Squat,Legs,205.0,lbs,5,,,,
2018-04-03,Barbell Squat,Legs,205.0,lbs,4,,,,
2018-04-03,Hanging Leg Raise,Abs,0.0,lbs,6,,,,
2018-04-03,Hanging Leg Raise,Abs,0.0,lbs,6,,,,
2018-04-03,Hanging Leg Raise,Abs,0.0,lbs,7,,,,
2018-04-03,Squat Machine,Legs,180.0,lbs,5,,,,
2018-04-03,Squat Machine,Legs,270.0,lbs,5,,,,
2018-04-03,Squat Machine,Legs,270.0,lbs,5,,,,
2018-04-03,Side Bend,Abs,45.0,lbs,20,,,,
2018-04-03,Side Bend,Abs,45.0,lbs,20,,,,
2018-04-03,Side Bend,Abs,45.0,lbs,20,,,,
2018-04-03,Standing Calf Raise Machine,Legs,120.0,lbs,7,,,,
2018-04-03,Standing Calf Raise Machine,Legs,160.0,lbs,5,,,,
2018-04-03,Standing Calf Raise Machine,Legs,160.0,lbs,5,,,,
2018-04-03,Rotary Torso,Abs,78.0,lbs,5,,,,
2018-04-03,Rotary Torso,Abs,88.0,lbs,10,,,,
